Pair	Word	Example	Swap	Synonyme	Swap + Synonyme
were-wear	were	We were excited to see the new movie last night.	We wear excited to see the new movie last night.		
were-wear	wear	You should wear a coat in this cold weather.	You should were a coat in this cold weather.	You should put on a coat in this cold weather.	
ware-were	ware	Local artisans sell their handcrafted wares at the market.	Local artisans sell their handcrafted weres at the market.	Local artisans sell their handcrafted goods at the market.	
ware-were	were	We were excited to see the new movie last night.	We ware excited to see the new movie last night.		
weather-whether	weather	They postponed the picnic due to the rainy weather.	They postponed the picnic due to the rainy whether.	They postponed the picnic due to the rainy conditions.	
weather-whether	whether	I haven't decided whether to take the bus or the train.	I haven't decided weather to take the bus or the train.		
wet-whet	wet	The grass was wet with dew this morning.	The grass was whet with dew this morning.	The grass was damp with dew this morning.	The grass was stimulated with dew this morning.
wet-whet	whet	The aroma of baked bread served to whet our appetites.	The aroma of baked bread served to wet our appetites.	The aroma of baked bread served to stimulate our appetites.	The aroma of baked bread served to damp our appetites.
which-witch	which	I can't decide which flavor of ice cream to choose.	I can't decide witch flavor of ice cream to choose.	I can't decide what flavor of ice cream to choose.	I can't decide sorceress flavor of ice cream to choose.
which-witch	witch	The child dressed up as a witch for Halloween.	The child dressed up as a which for Halloween.	The child dressed up as a sorceress for Halloween.	The child dressed up as a what for Halloween.
